,D47,D46,D45,D44,D43,D42,D41,D40,D39,D38,GLSA,GLSA RANK,NECI,NECI RANK,NEFU,NEFU RANK,FOREST
Beehave 1,16.026,16.276,16.796,16.866,17.17,17.237,17.047,17.624,17.748,17.525,11.33333333,MID,3.33,MID,0,NONE,ASHLAND
Beehave 2,15.456,14.993,15.081,15.53,16.265,16.449,16.222,16.291,16.5,16.862,11.33333333,MID,3.33,MID,0,NONE,ASHLAND
Beehave 3,24.043,24.064,24.24,23.852,23.704,23.45,23.412,23.482,23.423,22.951,11.33333333,MID,3.33,MID,0,NONE,ASHLAND
Beehave 4,8.7445,9.2676,9.3181,10.055,10.345,10.464,10.836,11.248,11.238,11.053,11.33333333,MID,3.33,MID,0,NONE,ASHLAND
Beehave 5,6.645,6.5082,6.6134,6.5307,6.5435,6.5518,6.6489,6.7446,6.5941,6.5599,11.33333333,MID,3.33,MID,0,NONE,ASHLAND
Beehave 6,13.478,13.633,13.464,13.163,12.726,13.347,13.241,13.023,13.68,13.447,11.33333333,MID,3.33,MID,0,NONE,ASHLAND
Beehave 7,11.642,11.745,12.054,11.874,11.588,11.799,12.501,12.419,12.423,11.994,11.33333333,MID,3.33,MID,0,NONE,ASHLAND
Beehave 8,11.016,10.298,10.353,10.292,10.43,10.541,10.703,10.67,10.507,11.333,11.33333333,MID,3.33,MID,0,NONE,ASHLAND
Beehave 9,17.903,17.935,18.43,19.424,19.389,19.242,19.985,20.226,20.648,20.569,11.33333333,MID,3.33,MID,0,NONE,ASHLAND
Bonanza 1,11.222,11.713,11.378,11.527,11.407,11.653,11.315,11.098,10.923,11.622,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER
Bonanza 2,8.0339,8.1493,8.4335,8.337,8.5492,8.2878,8.2581,8.2133,8.43,8.6921,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER
Bonanza 3,7.2942,7.1874,7.4216,7.6761,7.3029,7.2893,7.7144,7.6628,7.6639,7.731,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER
Bonanza 4,11.913,12.126,11.524,11.634,11.118,11.366,11.25,10.933,10.325,9.9538,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER
Bonanza 5,13.008,12.814,12.409,12.336,12.159,11.442,11.126,10.934,10.486,10.623,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER
Bonanza 6,10.02,10.715,9.8398,9.6073,9.3662,9.1992,8.9964,8.835,9.4283,9.7615,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER
Bonanza 7,13.501,12.661,12.304,11.201,11.332,10.37,10.955,11.206,10.734,10.347,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER
Bonanza 8,8.1799,7.7448,8.0222,8.4257,8.3105,9.1628,9.6181,9.5139,9.946,9.6581,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER
Bonanza 9,12.484,12.573,12.707,12.644,12.239,12.074,11.998,11.859,11.587,11.329,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER
Bull Gap 1,17.582,17.517,17.647,17.728,17.979,17.828,16.982,17.678,17.618,18.085,23,VHIGH,8,HIGH,0,NONE,ASHLAND
Bull Gap 2,9.7959,9.7328,9.6793,9.0035,8.2517,7.6758,7.3034,6.8375,6.6961,6.6563,23,VHIGH,8,HIGH,0,NONE,ASHLAND
Bull Gap 3,9.063,9.0754,9.1622,9.2657,9.185,9.1904,9.1327,9.5901,9.5452,9.5727,23,VHIGH,8,HIGH,0,NONE,ASHLAND
Bull Gap 4,22.554,22.142,21.879,22.494,22.908,21.982,21.551,21.312,21.566,21.298,23,VHIGH,8,HIGH,0,NONE,ASHLAND
Bull Gap 5,13.278,12.594,12.099,11.815,11.633,11.171,10.906,10.718,10.591,10.623,23,VHIGH,8,HIGH,0,NONE,ASHLAND
Bull Gap 6,18.32,17.535,17.069,17.288,17.172,15.875,15.099,14.881,15.734,15.125,23,VHIGH,8,HIGH,0,NONE,ASHLAND
Bull Gap 7,5.4362,5.5064,5.9695,6.3472,6.7034,6.9415,7.1026,7.5977,7.3641,6.7547,23,VHIGH,8,HIGH,0,NONE,ASHLAND
Bull Gap 8,16.546,16.96,16.558,16.915,17.534,17.65,17.16,17.055,16.942,16.804,23,VHIGH,8,HIGH,0,NONE,ASHLAND
Bull Gap 9,7.6204,7.615,7.0095,6.9069,7.4971,7.867,7.6209,7.342,7.1898,7.0112,23,VHIGH,8,HIGH,0,NONE,ASHLAND
Chintiminy 1,5.3153,5.1174,5.0706,4.9719,4.9635,5.4109,5.8389,6.0866,6.2265,6.0655,11,MID,0.67,LOW,0,NONE,SIUSLAW
Chintiminy 2,4.3535,4.324,4.3173,4.3105,4.5366,4.6905,4.7425,5.1709,5.203,4.9526,11,MID,0.67,LOW,0,NONE,SIUSLAW
Chintiminy 3,4.8935,5.1417,5.2546,5.2424,5.103,5.0199,5.0878,5.002,5.0507,5.1403,11,MID,0.67,LOW,0,NONE,SIUSLAW
Chintiminy 4,6.2728,6.4137,5.8343,6.1375,6.185,6.0733,6.0753,6.2383,6.3115,5.9551,11,MID,0.67,LOW,0,NONE,SIUSLAW
Chintiminy 5,6.4465,6.4832,6.3861,6.4739,6.1259,6.0584,6.5005,6.4429,6.6537,6.8511,11,MID,0.67,LOW,0,NONE,SIUSLAW
Chintiminy 6,12.22,12.09,11.91,11.442,11.363,11.183,10.708,11.089,10.946,10.767,11,MID,0.67,LOW,0,NONE,SIUSLAW
Chintiminy 7,7.8523,8.0545,7.7194,7.7551,7.6625,7.5795,8.3431,7.7723,7.7393,7.5825,11,MID,0.67,LOW,0,NONE,SIUSLAW
Chintiminy 8,11.254,11.515,10.958,11.042,11.728,12.075,12.521,12.062,12.339,11.734,11,MID,0.67,LOW,0,NONE,SIUSLAW
Chintiminy 9,7.4052,7.3109,7.2958,7.3614,7.4015,7.1645,7.3227,7.2215,7.292,7.1983,11,MID,0.67,LOW,0,NONE,SIUSLAW
East Ashland 1,12.889,13.425,13.195,13.189,13.657,13.301,13.804,13.603,13.945,14.22,26,VHIGH,6,HIGH,0,NONE,ASHLAND
East Ashland 2,17.862,17.968,17.993,18.397,18.68,18.182,17.467,16.893,17.816,17.482,26,VHIGH,6,HIGH,0,NONE,ASHLAND
East Ashland 3,8.9665,9.2217,8.9331,9.2766,9.0883,8.7636,8.9771,9.1796,8.7231,8.8423,26,VHIGH,6,HIGH,0,NONE,ASHLAND
East Ashland 4,9.1382,8.8698,8.8727,8.6995,8.4904,8.666,9.1243,9.5248,9.6024,9.6725,26,VHIGH,6,HIGH,0,NONE,ASHLAND
East Ashland 5,24.698,24.595,24.236,23.826,24.609,23.956,22.884,22.6,22.348,21.602,26,VHIGH,6,HIGH,0,NONE,ASHLAND
East Ashland 6,11.908,12.092,12.387,12.675,12.22,11.926,11.79,11.636,11.283,11.361,26,VHIGH,6,HIGH,0,NONE,ASHLAND
East Ashland 7,8.5921,8.8794,8.7903,8.3759,8.119,8.2922,8.046,8.0612,8.1717,8.1386,26,VHIGH,6,HIGH,0,NONE,ASHLAND
East Ashland 8,5.1032,5.304,5.3826,5.2997,5.715,5.5652,5.5516,5.6169,5.5381,5.3799,26,VHIGH,6,HIGH,0,NONE,ASHLAND
East Ashland 9,5.2327,5.6924,5.4892,5.5838,5.7156,5.8582,5.809,5.2891,5.1973,5.2511,26,VHIGH,6,HIGH,0,NONE,ASHLAND
Easy Tiger 1,12.42,11.917,11.021,11.461,11.235,10.578,10.256,9.9464,9.6514,9.2477,1,LOW,0.5,LOW,0,NONE,SIUSLAW
Easy Tiger 2,14.579,14.861,15.181,14.977,15.404,15.451,15.063,15.371,15.082,14.778,1,LOW,0.5,LOW,0,NONE,SIUSLAW
Easy Tiger 3,11.378,11.51,11.814,11.537,11.787,11.899,11.602,11.713,10.87,10.061,1,LOW,0.5,LOW,0,NONE,SIUSLAW
Easy Tiger 4,13.318,12.771,12.672,12.925,11.829,11.343,10.639,10.732,10.043,9.9934,1,LOW,0.5,LOW,0,NONE,SIUSLAW
Easy Tiger 5,8.4716,8.7001,9.159,9.2336,8.6646,8.4628,8.6139,9.0244,9.901,10.183,1,LOW,0.5,LOW,0,NONE,SIUSLAW
Easy Tiger 6,10.188,10.154,10.041,9.9855,9.8566,9.7373,8.9162,9.3897,9.2853,9.8186,1,LOW,0.5,LOW,0,NONE,SIUSLAW
Easy Tiger 7,13.054,13.277,13.087,13.477,13.932,13.865,13.748,12.904,13.352,13.859,1,LOW,0.5,LOW,0,NONE,SIUSLAW
Easy Tiger 8,13.024,14.124,14.706,14.428,14.35,14.723,14.681,15.134,15.301,15.629,1,LOW,0.5,LOW,0,NONE,SIUSLAW
Easy Tiger 9,8.648,8.7636,8.8172,9.1654,9.0482,8.987,9.1877,9.2315,9.2447,8.8485,1,LOW,0.5,LOW,0,NONE,SIUSLAW
Erikson Creek 1,12.422,12.349,12.166,12.18,12.336,12.565,13.02,12.874,13.004,12.678,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW
Erikson Creek 2,22.567,21.407,19.811,18.514,18.255,17.13,16.173,15.945,15.606,14.614,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW
Erikson Creek 3,15.554,15.806,15.717,15.137,15.18,15.884,15.143,15.143,14.212,13.973,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW
Erikson Creek 4,9.7043,10.047,9.4579,9.3741,9.4998,11.015,10.543,10.88,10.662,10.32,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW
Erikson Creek 5,17.572,17.756,17.75,16.935,15.817,16.106,15.73,14.949,14.861,13.815,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW
Erikson Creek 6,10.586,11.123,10.787,12.019,11.946,12.455,12.762,13.131,11.788,10.979,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW
Erikson Creek 7,3.6863,3.8734,4.3972,4.5734,5.0103,5.1131,5.0039,5.3489,5.5443,6.661,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW
Erikson Creek 8,11.541,11.725,11.076,10.141,10.119,9.5436,9.5098,9.7348,9.5218,9.9594,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW
Erikson Creek 9,8.161,6.7391,6.2109,7.098,8.113,7.4403,7.16,6.5885,6.9222,9.2183,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW
Farmer Easy 1,14.655,14.599,15.288,14.329,14.597,15.389,16.07,15.305,16.434,16.525,10,MID,2.3,MID,0,NONE,SIUSLAW
Farmer Easy 2,19.048,19.464,18.309,18.491,19.333,18.934,19.223,18.612,19.049,19.335,10,MID,2.3,MID,0,NONE,SIUSLAW
Farmer Easy 3,18.29,18.648,18.36,18.93,19.333,19.837,19.22,20.142,20.481,21.112,10,MID,2.3,MID,0,NONE,SIUSLAW
Farmer Easy 4,5.4431,5.5134,5.5246,5.2419,5.3247,5.1347,4.8352,5.4534,4.701,4.6337,10,MID,2.3,MID,0,NONE,SIUSLAW
Farmer Easy 5,15.185,14.904,15.016,14.69,14.81,14.395,14.958,15.367,14.898,15.013,10,MID,2.3,MID,0,NONE,SIUSLAW
Farmer Easy 6,12.677,13.068,13.253,12.962,13.41,15.111,15.362,14.852,16.225,17.571,10,MID,2.3,MID,0,NONE,SIUSLAW
Farmer Easy 7,12.431,12.772,13.028,12.091,12.913,12.984,12.637,12.923,13.077,13.153,10,MID,2.3,MID,0,NONE,SIUSLAW
Farmer Easy 8,14.492,14.406,14.851,15.073,15.435,15.294,15.436,14.799,14.813,13.856,10,MID,2.3,MID,0,NONE,SIUSLAW
Farmer Easy 9,14.782,15.149,15.932,16.164,16.941,17.093,16.417,16.513,15.233,14.742,10,MID,2.3,MID,0,NONE,SIUSLAW
Schooner Creek 1,14.186,14.056,14.224,13.96,13.767,14.064,14.13,14.494,14.505,14.096,15,HIGH,0.67,LOW,0,NONE,SIUSLAW
Schooner Creek 2,19.182,19.115,19.895,19.946,19.982,20.255,20.036,20.082,20.642,21.285,15,HIGH,0.67,LOW,0,NONE,SIUSLAW
Schooner Creek 3,9.6684,9.1428,8.5849,8.3695,8.2786,8.345,8.5682,8.5632,8.6127,7.9519,15,HIGH,0.67,LOW,0,NONE,SIUSLAW
Schooner Creek 4,7.8669,7.6283,7.7846,7.8272,7.8312,7.9921,8.1361,8.172,8.2021,8.0318,15,HIGH,0.67,LOW,0,NONE,SIUSLAW
Schooner Creek 5,5.4269,5.3798,5.6278,5.5862,5.5961,5.5562,5.6872,5.834,5.9437,5.976,15,HIGH,0.67,LOW,0,NONE,SIUSLAW
Schooner Creek 6,15.463,15.779,15.747,15.675,15.463,15.586,15.408,16.163,15.743,15.442,15,HIGH,0.67,LOW,0,NONE,SIUSLAW
Schooner Creek 7,9.1085,9.7296,10.729,10.2,10.518,10.647,11.024,11.486,11.609,10.875,15,HIGH,0.67,LOW,0,NONE,SIUSLAW
Schooner Creek 8,17.514,17.494,17.491,17.727,17.949,17.794,17.993,18.671,19.098,19.792,15,HIGH,0.67,LOW,0,NONE,SIUSLAW
Schooner Creek 9,15.617,15.634,15.488,15.523,16.1,16.057,15.453,15.166,15.595,15.28,15,HIGH,0.67,LOW,0,NONE,SIUSLAW
Three Horn 1,7.4374,7.3639,7.2641,7.3325,7.6114,7.198,7.1297,7.2934,7.2896,7.5707,7.7,LOW,1,LOW,20.3,HIGH,TILLER
Three Horn 2,5.8437,5.9258,5.77,5.6824,5.6553,5.4306,5.3004,5.6277,5.8237,6.0615,7.7,LOW,1,LOW,20.3,HIGH,TILLER
Three Horn 3,10.735,10.972,11.507,11.36,11.354,11.243,10.861,10.691,10.909,10.127,7.7,LOW,1,LOW,20.3,HIGH,TILLER
Three Horn 4,7.2836,7.4907,7.1848,6.3569,5.97,6.3861,5.4756,5.5892,5.4871,5.0753,7.7,LOW,1,LOW,20.3,HIGH,TILLER
Three Horn 5,14.282,14.253,13.666,14.295,16.793,16.91,16.764,16.514,14.406,14.241,7.7,LOW,1,LOW,20.3,HIGH,TILLER
Three Horn 6,5.6293,5.3899,5.283,5.1583,5.2372,5.3286,5.4364,5.6167,5.6197,5.852,7.7,LOW,1,LOW,20.3,HIGH,TILLER
Three Horn 7,5.8191,5.7689,5.798,5.9782,5.8283,5.7511,5.4679,5.3687,5.4217,4.8811,7.7,LOW,1,LOW,20.3,HIGH,TILLER
Three Horn 8,11.711,11.574,11.344,10.802,11.04,11.402,12.014,11.83,12.16,12.808,7.7,LOW,1,LOW,20.3,HIGH,TILLER
Three Horn 9,10.743,11.193,11.049,10.521,10.193,10.475,10.67,11.047,12.171,12.638,7.7,LOW,1,LOW,20.3,HIGH,TILLER
Trail Creek 1,13.658,13.676,13.038,13.391,12.395,11.697,11.267,11.004,10.477,10.261,18,HIGH,5,HIGH,13,MID,TILLER
Trail Creek 2,4.1306,4.4442,4.6444,4.8078,4.7874,4.9558,4.9293,4.9617,4.7463,4.3484,18,HIGH,5,HIGH,13,MID,TILLER
Trail Creek 3,20.05,20.269,20.039,20.467,19.719,19.6,19.007,18.112,18.482,19.398,18,HIGH,5,HIGH,13,MID,TILLER
Trail Creek 4,13.184,12.698,12.637,12.641,12.906,12.776,12.79,12.708,13.112,13.156,18,HIGH,5,HIGH,13,MID,TILLER
Trail Creek 5,4.6962,4.9456,4.8435,4.9749,5.1944,4.889,5.087,4.8517,4.864,4.6492,18,HIGH,5,HIGH,13,MID,TILLER
Trail Creek 6,16.833,15.744,15.461,15.42,15.427,15.181,15.504,16.589,17.056,16.996,18,HIGH,5,HIGH,13,MID,TILLER
Trail Creek 7,13.338,12.608,12.512,12.262,12.292,12.56,12.728,13.296,13.91,14.68,18,HIGH,5,HIGH,13,MID,TILLER
Trail Creek 8,5.6644,5.0813,4.8371,4.5805,4.767,5.0013,4.5834,4.6822,4.4424,4.1695,18,HIGH,5,HIGH,13,MID,TILLER
Trail Creek 9,4.1866,4.1784,4.0274,3.9496,3.9913,4.0237,3.6265,3.2868,3.1043,3.3637,18,HIGH,5,HIGH,13,MID,TILLER
Wildcat 1,9.9652,10.48,10.009,9.7311,8.9841,8.5894,8.6261,8.9018,8.7877,8.4229,18.3,HIGH,1,LOW,0,NONE,SIUSLAW
Wildcat 2,21.288,21.122,20.06,20.445,21.679,21.776,20.772,20.581,21.005,21.018,18.3,HIGH,1,LOW,0,NONE,SIUSLAW
Wildcat 3,10.144,10.396,10.824,10.514,11.153,10.946,10.469,10.424,10.663,11.301,18.3,HIGH,1,LOW,0,NONE,SIUSLAW
Wildcat 4,16.4,14.527,14.646,15.643,16.388,16.436,16.937,16.657,15.629,15.725,18.3,HIGH,1,LOW,0,NONE,SIUSLAW
Wildcat 5,13.017,12.937,13.448,13.826,13.932,14.747,15.184,14.451,14.127,13.923,18.3,HIGH,1,LOW,0,NONE,SIUSLAW
Wildcat 6,22.985,22.963,22.887,22.734,22.775,22.205,21.98,22.951,22.583,21.238,18.3,HIGH,1,LOW,0,NONE,SIUSLAW
Wildcat 7,17.817,18.557,17.952,18.718,18.351,17.581,17.347,16.009,15.414,16.128,18.3,HIGH,1,LOW,0,NONE,SIUSLAW
Wildcat 8,17.154,16.999,16.665,16.493,14.874,14.109,14.328,14.409,12.635,10.979,18.3,HIGH,1,LOW,0,NONE,SIUSLAW
Wildcat 9,22.417,22.567,22.548,23.014,23.093,22.905,23.196,23.09,23.187,23.583,18.3,HIGH,1,LOW,0,NONE,SIUSLAW
